,Perfil,Competenecia Laboral,Familia,Sector,Descargar Perfil
217,ASISTENCIA EN PREPARACIÓN Y EXPLORACIÓN DE MINA,"EJECUTAR LOS PROCESOS ASOCIADOS A LA PREPARACIÓN DE MINA SUBTERRÁNEA, DE ACUERDO AL PLAN PRODUCTIVO, ESTÁNDARES DE LA ORGANIZACIÓN Y NORMATIVA.LEGAL VIGENTE.","MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS,
218,BLANQUEO Y TINTURA DE MATERIAS TEXTILES,"REALIZAR EL BLANQUEO Y/O TINTURA DE MATERIAS TEXTILES, APLICANDO TÉCNICAS Y PROCEDIMIENTOS, DE ACUERDO A LA NORMATIVA VIGENTE.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS,
219,BORDADOS ARTESANALES,"ELABORAR BORDADOS ARTESANALES DESARROLLANDO TÉCNICAS ANCESTRALES, MANTENIENDO NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL.",ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS,
220,ELABORACIÓN DE ARTÍCULOS DE PELO DE CABALLO,"ELABORAR ARTÍCULOS UTILIZANDO COMO MATERIA PRIMA EL CRIN (PELO DE CABALLO) Y TÉCNICAS ANCESTRALES, ENMARCADO EN NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y LA PROTECCIÓN DEL MEDIO AMBIENTE.",ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS,
221,CONFECCIÓN EN CUERO,PRODUCIR ARTÍCULOS DE CUERO (CALZADO Y ARTÍCULOS DE MARROQUINERÍA) TOMANDO EN CONSIDERACIÓN LOS REQUERIMIENTOS ESTABLECIDOS CUMPLIENDO NORMAS DE SEGURIDAD Y SALUD OCUPACIONAL.,ARTESANÍAS,FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS,
222,COORDINACIÓN Y MANTENIMIENTO DE UNIDADES DE REFINACIÓN,"REALIZAR LABORES DE SOPORTE Y MANTENIMIENTO DE SISTEMAS, EQUIPOS E INSTRUMENTOS EN UNIDADES DE REFINACIÓN DE PETRÓLEO CRUDO CON LAS DIRECTRICES DEL PROGRAMA DE MANTENIMIENTO Y OPERACIÓN DE LOCACIONES FIJADAS POR LA REFINERÍA","MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS,
223,CORTADOR DE CALZADO - ESTAMPADO DE MATERIAS TEXTILES,"ESTAMPAR LAS MATERIAS TEXTILES , APLICANDO TÉCNICAS Y PROCEDIMIENTOS ESTABLECIDOS.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES,
224,COSMETOLOGÍA,PRESTAR SERVICIOS COSMETOLÓGICOS FACIALES Y CORPORALES MANTENIENDO LAS CARACTERÍSTICAS Y EL EQUILIBRIO DEL PH DE LA PIEL SIN INTERVENIR EN EL CAMPO MÉDICO.,ACTIVIDADES COMUNITARIAS,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,
225,"EJECUCIÓN DE PROCESOS TÉCNICOS DE CONFECCIÓN DE ARTÍCULOS A PARTIR DE HILATURAS, TEJEDURÍAS Y PIELES","CONFECCIONAR ARTÍCULOS ELABORADOS A PARTIR DE HILATURAS, TEJEDURÍAS Y PIELES MEDIANTE LA APLICACIÓN DE CONOCIMIENTOS, EL USO DE MAQUINARIA, UTENSILIOS Y EQUIPO APLICANDO NORMAS DE CALIDAD Y SEGURIDAD OCUPACIONAL","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES,
226,ELABORACIÓN DE NOGADAS,"ELABORAR NOGADAS, DE ACUERDO A NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL.",ARTESANÍAS,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
227,ELABORACIÓN DE VITRALES ARTÍSTICOS,"PRODUCIR VITRALES A SATISFACCIÓN DEL CLIENTE, MANTENIENDO NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL.",ARTESANÍAS,FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS,
228,ESCULTURA Y TALLADO DE MADERA,"ELABORAR ESCULTURAS DE MADERA DESARROLLANDO TÉCNICAS ANCESTRALES Y/O INDUSTRIALES, CUMPLIENDO NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL.",ARTESANÍAS,"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES",
229,FABRICACIÓN DE FUEGOS DE ARTIFICIO O PIROTÉCNICOS,"PRODUCIR FUEGOS O ARTIFICIOS PIROTÉCNICOS OBSERVANDO NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL.",ARTESANÍAS,"ACTIVIDADES DEPORTIVAS, DE ESPARCIMIENTO Y RECREATIVAS",
230,GANADERÍA,"EJECUTAR ACTIVIDADES DE GANADERÍA BOVINA EN PRODUCCIÓN DE LECHE, CUIDADO DE ANIMALES, MANEJO DE CRÍAS LACTANTES, CONTROL DEL PERÍODO DE PREÑEZ CONSIDERANDO LINEAMIENTOS SANITARIOS ESTABLECIDOS.",PRODUCCIÓN PECUARIA,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",
231,ACTIVIDADES DE APOYO Y CONTROL EN LA TRANSFORMACIÓN DE ALIMENTOS,ACTIVIDADES DE APOYO Y CONTROL EN TRANSFORMACIÓN DE ALIMENTOS,TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
232,ARTESANÍAS EN MATERIALES DE ORIGEN VEGETAL Y ANIMAL,ELABORAR PRODUCTOS ARTESANALES EN FIBRA ANIMAL O VEGETAL APLICANDO DISEÑOS EN FUNCIÓN DE LOS REQUERIMIENTOS DEL CLIENTE.,ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS,
233,ELABORACIÓN DE OBJETOS ARTÍSTICOS DE DISEÑO Y ARTESANALES DE PAPEL,"REALIZAR OBJETOS ARTÍSTICOS, DE DISEÑO Y ARTESANALES EN PAPEL DE ACUERDO A TÉCNICAS ESTABLECIDAS CUMPLIENDO LA NORMATIVA DE SEGURIDAD Y SALUD OCUPACIONAL VIGENTES.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO",
234,ESPECIALISTA EN GESTIÓN DE CALIDAD,REALIZAR PROCESOS DE CONTROL Y MEJORA CONTINUA DEL SISTEMA DE GESTIÓN DE CALIDAD DE ACUERDO AL GIRO DEL NEGOCIO DE LA ORGANIZACIÓN Y NORMATIVA APLICABLE.,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN,
235,GESTIÓN ADMINISTRATIVA DEL SISTEMA DE SALUD DESCONCENTRADO,"GESTIONAR LA FUNCIONALIDAD DEL MODELO DE ATENCIÓN INTEGRAL DE SALUD, MEDIANTE LA COORDINACIÓN, SUPERVISIÓN Y CONTROL DE LOS PROCESOS AGREGADORES DE VALOR Y HABILITANTES DE APOYO Y ASESORÍA, EN SU JURISDICCIÓN.",ACTIVIDADES DE SALUD,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,
236,INDUSTRIALIZACIÓN DE PRODUCTOS ALIMENTICIOS,"TRANSFORMAR LA MATERIA PRIMA AGROPECUARIA EN PRODUCTOS Y SUB-PRODUCTOS ELABORADOS PARA EL CONSUMO ALIMENTICIO, CONSIDERANDO LAS NORMAS TÉCNICAS VIGENTES, APLICANDO TECNOLOGÍAS AMIGABLES CON EL AMBIENTE Y SISTEMAS DE GESTIÓN DE INOCUIDAD.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
237,METROLOGÍA CIENTÍFICA,GENERAR PATRONES O MATERIALES DE REFERENCIA DE ACUERDO AL SISTEMA INTERNACIONAL DE UNIDADES S.I.,ACTIVIDADES TIPO SERVICIOS,"FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA",
238,MONTAJE Y MANTENIMIENTO DE INSTALACIONES SOLARES FOTOVOLTÁICAS,EFECTUAR LA INSTALACIÓN Y MANTENIMIENTO DE INSTALACIONES SOLARES FOTOVOLTAICAS SEGÚN EL PROYECTO CUMPLIENDO LA NORMATIVA VIGENTE TÉCNICA Y SE SEGURIDAD VIDENTES.,"ELECTRICIDAD, GAS Y AGUA",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,
239,OPERACIONES BÁSICAS PARA EL MONTAJE Y MANTENIMIENTO DE INSTALACIONES SOLARES TÉRMICAS,"REALIZAR OPERACIONES BÁSICAS EN EL MONTAJE Y MANTENIMIENTO DE INSTALACIONES DE ENERGÍAS RENOVABLES, FUNDAMENTALMENTE SOLARES TÉRMICAS, DE PEQUEÑA POTENCIA, SIGUIENDO LOS PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA VIGENTE.","ELECTRICIDAD, GAS Y AGUA",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,
