perfil,competenecia_laboral,familia,sector,tipo,estado
supervisión de proceso de línea de corrugación,supervisar las operaciones de producción del corrugado de acuerdo al sistema de calidad y parámetros establecidos.,"productos industriales, farmacéuticos y químicos",fabricación de papel y de productos de papel,oc,habilitado
preparación de pasta de papel,preparar y elaborar pasta celulosa bajo estándares de calidad para la elaboración de productos semi-elaborados de papel cumpliendo con normas medio ambientales y de seguridad y salud en el trabajo.,"productos industriales, farmacéuticos y químicos",fabricación de papel y de productos de papel,oc,habilitado
asistencia a la edición,"asistir y colaborar en la gestión y edición editorial, realizando la corrección estilística y orto tipográfico de textos, gestionando la contratación de los derechos de autor de textos e imágenes y organizando los contenidos de la obra, manteniendo los criterios y calendarios del programa de la editorial.",actividades comunitarias,"otras actividades profesionales, científicas y técnicas",oc,habilitado
operaciones especializadas en dirección de cámaras,desarrollar un lenguaje audiovisual de un programa o proyecto conforme los lineamientos del guion o libreto y los estándares de calidad establecidos institucionalmente.,actividades comunitarias,"actividades de producción de películas cinematográficas, vídeos y programas de televisión, grabación de sonido y edición de música",oc,habilitado
producción de audiovisuales,diseñar y realizar proyectos audiovisuales en conformidad con estándares de calidad y los lineamientos establecidos por la empresa o medio de comunicación.,actividades comunitarias,"actividades de producción de películas cinematográficas, vídeos y programas de televisión, grabación de sonido y edición de música",oc,habilitado
grabación y post-producción de sonido en producción musical y audiovisual,generar productos y/o material sonoro mediante el manejo de equipos de audio aplicando técnicas de sonido y normativas vigentes.,actividades comunitarias,"actividades de producción de películas cinematográficas, vídeos y programas de televisión, grabación de sonido y edición de música",oc,habilitado
locución y presentación de radio y televisión,conducir espacios de programación y presentar contenidos a través de formatos de radio y/o televisión tomando en consideración los procedimientos establecidos y la normativa vigente.,actividades comunitarias,actividades de programación y transmisión,oc,habilitado
gestión en radio,"realizar el inicio de la transmisión, puesta al aire, cierre de la transmisión, transmisión de eventos del exterior, grabación y ediciónde solicitudes artísticas y/o comerciales usando conocimientos básicos de electricidad y electrónica, manejo de software específico de la radio, manejo de consolas de la radio e instalación de equipos de exteriores.",actividades comunitarias,actividades de programación y transmisión,oc,habilitado
ebanistería,"elaborar de manera artesanal instrumentos de cuerda mediante la preparación, operación y control máquinas y herramientas, llevando a cabo el control del proceso de acuerdo a la normativa vigente.","productos industriales, farmacéuticos y químicos",fabricación de muebles,oc,habilitado
operaciones en reparación de calzado y marroquinería,"reparar roturas y daños, y/o sustituir piezas en cualquier tipo de calzado y/o artículo de marroquinería, aplicando las técnicas y procedimientos necesarios, logrando el artículo restaurado con la calidad y acabado requerido, en los plazos previstos, con la atención al cliente que demanda el servicio y en las condiciones de seguridad y medioambientales.","productos textiles, cuero y calzado",reparación de computadores y de efectos personales y enseres domésticos,oc,habilitado
conserjería,"realizar operaciones de funcionamiento y mantenimiento preventivo en el edificio o inmueble, de acuerdo a procedimientos establecidos y normativa vigente.",actividades tipo servicios,actividades de los hogares como empleadores de personal doméstico,oc,habilitado
preparación de la madera,"realizar las operaciones de secado y de tratamiento de la madera para protegerla contra los agentes degradadores y mejorar sus características, utilizando los métodos y los equipos específicos, consiguiendo la calidad requerida, en las condiciones de seguridad, salud laboral y medio ambientales adecuadas.",productos industriales farmacéuticos y químicos,"producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",oc,habilitado
operaciones de lacado,"realizar el acabado de superficies en carpintería y mueble mediante la aplicación de productos superficiales de acuerdo a procedimientos establecidos, respetando la normativa vigente.",productos industriales farmacéuticos y químicos,fabricación de muebles,oc,habilitado
realización de masajes terapéuticos,"reconocer y aliviar los signos, síntomas, y patologías identificadas mediante la aplicación de técnicas de masaje terapéutico basado en protocolos establecidos; tomando en consideración las normas de higiene, seguridad y salud en el trabajo.",actividades comunitarias,actividades de atención de la salud humana,oc,habilitado
supervisión de limpieza y arreglo de habitación (ama de llaves),"realizar la coordinacion y supervision de los servicios de aseo, limpieza y orden de habitaciones, areas publicas y areas de servicio del establecimiento, cumpliendo la normativa legal vigente.",actividades tipo servicios,actividades de alojamiento,oc,habilitado
mecanizado y construcciones metálicas,realizar las distintas operaciones en los procesos de mecanizado y de construcciones metalicas verificando la calidad de los productos obtenidos verificando el funcionamiento de puesta en marcha y parada de los equipos en condiciones de seguridad y estandarez de calidad.,metalmecánica,"fabricación de productos elaborados de metal, excepto maquinaria y equipo",oc,habilitado
operaciones de máquina de empaque y sellado de pescado y mariscos,"operar las máquinas de empaque y sellado de los productos de pescado y mariscos en base a las órdenes de producción, buenas prácticas de manufactura, normas de calidad, seguridad y salud en el trabajo y medio ambiente.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
operaciones en artesanías de obras de piedra natural,"realizar y mantener obras de artesanía en piedra natural, de carácter tradicional o contemporáneo, según la obra a ejecutar y técnicas establecidas",artesanías,fabricación de otros productos minerales no metálicos,oc,habilitado
administración y diseño de redes departamentales,"diseñar la arquitectura de comunicaciones de un entorno de complejidad media o baja, supervisar su implantación siguiendo el proyecto y administrar el sistema resultante, proporcionando la asistencia técnica necesaria.",tecnología: hardware y software (incluye tic),"programación informática, consultoría de informática y actividades conexas",oc,habilitado
